"name","mbid","url","image[0].#text","image[1].#text"
"James Blake","8dc08b1f-e393-4f85-a5dd-300f7693a8b8","https://www.last.fm/music/James+Blake","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Blunt","ebee61b4-bbdd-4087-9bcb-d5aa099088ec","https://www.last.fm/music/James+Blunt","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Arthur","56f62fe8-d3a0-46e0-b5df-a64a8b4b4274","https://www.last.fm/music/James+Arthur","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Brown","84783313-2a3f-4f17-ab9a-425a5d527879","https://www.last.fm/music/James+Brown","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Bay","6a997121-0919-482b-a91b-c6fe1b55a4b9","https://www.last.fm/music/James+Bay","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Morrison","b49a9595-3576-44bb-8ac0-e26d3f5b42ff","https://www.last.fm/music/James+Morrison","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Taylor","c5a69f1d-f4fc-42b1-9e99-5b3cd35406fa","https://www.last.fm/music/James+Taylor","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Jaymes Young","1c494195-f8b9-456f-8516-42695bfae57b","https://www.last.fm/music/Jaymes+Young","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Etta James","e22d2f66-881e-41ca-9356-544697ee5f90","https://www.last.fm/music/Etta+James","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Vincent McMorrow","3b7b1fd3-6952-4aa8-9467-40b105d1039b","https://www.last.fm/music/James+Vincent+McMorrow","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Newton Howard","f6580b26-77f7-4a7b-8513-6db0476e8f21","https://www.last.fm/music/James+Newton+Howard","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Horner","679ec43c-bc04-4bb0-b619-2da702a214ba","https://www.last.fm/music/James+Horner","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James","a2accb58-6099-4cb5-a3c8-f6332f364db5","https://www.last.fm/music/James","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Boldy James","a59a3fdd-4bcc-4c61-b4c5-7d0c1341f2e2","https://www.last.fm/music/Boldy+James","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Rick James","cba9cec2-be8d-41bd-91b4-a1cd7de39b0c","https://www.last.fm/music/Rick+James","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James Tw","","https://www.last.fm/music/James+Tw","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Hayden James","af3d88d4-ba94-44b4-9a78-87976f1acd42","https://www.last.fm/music/Hayden+James","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Joni James","1e4816a7-920c-4778-a791-cbf33ab2d8fe","https://www.last.fm/music/Joni+James","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"James HYPE","","https://www.last.fm/music/James+HYPE","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
