"name","mbid","url","image[0].#text","image[1].#text"
"Tupac","382f1005-e9ab-4684-afd4-0bdae4ee37f2","https://www.last.fm/music/Tupac","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Biggie vs Tupac vs The xx","","https://www.last.fm/music/Biggie+vs+Tupac+vs+The+xx","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Tupac Shakur","382f1005-e9ab-4684-afd4-0bdae4ee37f2","https://www.last.fm/music/Tupac+Shakur","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Tupac Amaru Shakur","","https://www.last.fm/music/Tupac+Amaru+Shakur","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Capital Cities ft. Tupac Shakur","","https://www.last.fm/music/Capital+Cities+ft.+Tupac+Shakur","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Tupac ft. Elton John","","https://www.last.fm/music/Tupac+ft.+Elton+John","",""
"Tupac & Notorious B.I.G.","","https://www.last.fm/music/Tupac+&+Notorious+B.I.G.","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Outlawz/Tupac Shakur","","https://www.last.fm/music/Outlawz%2FTupac+Shakur","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Tupac vs Kid Cudi","","https://www.last.fm/music/Tupac+vs+Kid+Cudi","",""
"Tupac and Snoop Doggy Dogg","","https://www.last.fm/music/Tupac+and+Snoop+Doggy+Dogg","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Tupac & Elton John","","https://www.last.fm/music/Tupac+&+Elton+John","",""
"Tupaczewski","","https://www.last.fm/music/Tupaczewski","",""
"Tupac-shed So Many Tears","","https://www.last.fm/music/Tupac-shed+So+Many+Tears","",""
"Tupac & Biggie","","https://www.last.fm/music/Tupac+&+Biggie","",""
"Tupac ft. Dr. Dre","","https://www.last.fm/music/Tupac+ft.+Dr.+Dre","",""
"Tupac & Scarface","","https://www.last.fm/music/Tupac+&+Scarface","",""
"Tupac feat. Dr Dre","","https://www.last.fm/music/Tupac+feat.+Dr+Dre","",""
"Tupac Ft Elton John","","https://www.last.fm/music/Tupac+Ft+Elton+John","",""
